household_id,person_weight,log_salary,any_home_internet,digital_access_score,education_band,matric_plus,age_centred,age_centred_squared,female,population_group,province,settlement_type
166100310000026301,1245.72676864,8.847647355711887,0,0,Primary (Grade R-7),0,9,81,0,Coloured,Western Cape,Farms
166100920000005701,1566.64397442,9.97966124675897,1,4,Matric,1,-9,81,0,Coloured,Western Cape,Non-metro urban
166100920000005701,1566.64397442,9.97966124675897,1,4,Degree,1,-11,121,1,Coloured,Western Cape,Non-metro urban
166101210000001501,2121.60950634,8.630521876723241,1,2,Some secondary,0,-10,100,0,Coloured,Western Cape,Farms
166101210000001501,2121.60950634,8.389359819906353,1,2,Primary (Grade R-7),0,4,16,1,Coloured,Western Cape,Farms
166101210000001501,2121.60950634,8.389359819906353,1,2,Some secondary,0,-8,64,1,Coloured,Western Cape,Farms
166101210000001501,2121.60950634,8.389359819906353,1,2,Some secondary,0,-17,289,1,Coloured,Western Cape,Farms
166101210000001501,2121.60950634,8.389359819906353,1,2,Some secondary,0,-19,361,1,Coloured,Western Cape,Farms
166101210000001501,2121.60950634,8.389359819906353,1,2,Primary (Grade R-7),0,-22,484,0,Coloured,Western Cape,Farms
166101210000001501,2121.60950634,8.389359819906353,1,2,Matric,1,-15,225,1,Coloured,Western Cape,Farms
166101210000005401,1268.50622559,8.389359819906353,1,1,Primary (Grade R-7),0,10,100,1,Coloured,Western Cape,Farms
166101210000005401,1268.50622559,8.476371196895983,1,1,Some secondary,0,10,100,0,Coloured,Western Cape,Farms
166101210000005401,1268.50622559,8.294049640102028,1,1,Matric,1,-2,4,0,Coloured,Western Cape,Farms
166101210000009301,1064.32040855,8.389359819906353,1,2,Some secondary,0,-1,1,1,Coloured,Western Cape,Farms
166101210000013201,1379.51461044,8.294049640102028,1,2,Primary (Grade R-7),0,-2,4,0,Coloured,Western Cape,Farms
166101210000013201,1379.51461044,8.294049640102028,1,2,Some secondary,0,-3,9,1,Coloured,Western Cape,Farms
166101210000021001,1351.46337874,8.582980931954241,1,2,Some secondary,0,5,25,1,Coloured,Western Cape,Farms
166101210000021001,1351.46337874,8.389359819906353,1,2,Some secondary,0,-15,225,0,Coloured,Western Cape,Farms
166101210000021001,1351.46337874,8.294049640102028,1,2,Some secondary,0,-18,324,0,Coloured,Western Cape,Farms
166101240000001501,1806.3188948,10.203592144986466,1,4,Degree,1,4,16,1,White,Western Cape,Non-metro urban
166101240000001501,1806.3188948,10.085809109330082,1,4,Degree,1,7,49,0,White,Western Cape,Non-metro urban
166101240000021001,2635.98143939,9.903487552536127,1,4,Degree,1,6,36,1,White,Western Cape,Non-metro urban
166101240000040501,2437.51253599,9.903487552536127,1,4,Degree,1,24,576,0,White,Western Cape,Non-metro urban
166101240000040501,2437.51253599,10.46310334047155,1,4,Matric,1,14,196,1,White,Western Cape,Non-metro urban
166101240000047001,2400.59858411,11.461632170582678,1,4,Degree,1,5,25,0,White,Western Cape,Non-metro urban
166101240000047001,2400.59858411,11.156250521031495,1,4,Degree,1,3,9,1,White,Western Cape,Non-metro urban
166101240000053501,2522.69724852,11.918390573078392,1,4,Matric,1,9,81,0,White,Western Cape,Non-metro urban
166101240000053501,2522.69724852,11.289781913656018,1,4,Degree,1,9,81,1,White,Western Cape,Non-metro urban
166101240000060001,2124.35181351,11.289781913656018,1,4,Post-school certificate/diploma,1,9,81,0,White,Western Cape,Non-metro urban
166101240000060001,2124.35181351,11.918390573078392,1,4,Degree,1,7,49,1,White,Western Cape,Non-metro urban
166101550000001701,1337.70751615,8.34283980427146,1,4,Matric,1,7,49,0,Coloured,Western Cape,Non-metro urban
166101550000003801,2178.44552587,8.411832675758411,1,4,Post-school certificate/diploma,1,-11,121,0,Coloured,Western Cape,Non-metro urban
166101550000003801,2178.44552587,9.798127036878302,1,4,Degree,1,-12,144,0,Coloured,Western Cape,Non-metro urban
166101550000005901,1240.77228768,9.305650551780507,1,4,Post-school certificate/diploma,1,10,100,1,Coloured,Western Cape,Non-metro urban
166101590000000701,1516.48604607,11.289781913656018,1,4,Degree,1,-5,25,0,White,Western Cape,Non-metro urban
166101590000000701,1516.48604607,11.918390573078392,1,4,Degree,1,-5,25,1,White,Western Cape,Non-metro urban
166101590000007301,1225.61234816,11.289781913656018,1,4,Matric,1,1,1,0,White,Western Cape,Non-metro urban
166101590000007301,1225.61234816,11.918390573078392,1,4,Post-school certificate/diploma,1,-1,1,1,White,Western Cape,Non-metro urban
166101590000010601,1270.28701034,9.903487552536127,1,4,Matric,1,11,121,0,White,Western Cape,Non-metro urban
166101590000010601,1270.28701034,8.987196820661973,1,4,Matric,1,6,36,1,White,Western Cape,Non-metro urban
