household_id,person_weight,employed,age_centred,age_centred_squared,female,population_group,province,settlement_type,education_band,matric_plus,has_fixed_internet,has_mobile_internet,has_computer,any_home_internet,digital_access_score,smartphone_access,edu_digital_group,household_size,n_children_under15,elderly_in_household,dependency_ratio,female_x_children,other_member_matric
163100220000003801,1162.68261854,Employed,3,9,0,Coloured,Western Cape,Non-metro urban,Some secondary,0,0,1,0,1,2,Fewer than 1 per member,"Below matric, internet",5,1,0,0.25,0,No
163100220000006501,1232.24787685,Employed,8,64,0,Coloured,Western Cape,Non-metro urban,Some secondary,0,1,1,0,1,3,Fewer than 1 per member,"Below matric, internet",5,0,0,0,0,No
163100220000006501,1232.24787685,Employed,13,169,1,Coloured,Western Cape,Non-metro urban,Some secondary,0,1,1,0,1,3,Fewer than 1 per member,"Below matric, internet",5,0,0,0,0,No
163100220000006501,1232.24787685,Employed,-13,169,1,Coloured,Western Cape,Non-metro urban,Some secondary,0,1,1,0,1,3,Fewer than 1 per member,"Below matric, internet",5,0,0,0,0,No
163100220000009201,840.116690001,Employed,-1,1,0,Coloured,Western Cape,Non-metro urban,Some secondary,0,1,1,0,1,3,1 or more per member,"Below matric, internet",1,0,0,0,0,No other working-age member
163100220000011901,1081.48280721,Employed,7,49,0,Coloured,Western Cape,Non-metro urban,Some secondary,0,1,1,0,1,3,1 or more per member,"Below matric, internet",3,1,0,0.5,0,Yes
163100220000011901,1081.48280721,Employed,7,49,1,Coloured,Western Cape,Non-metro urban,Matric,1,1,1,0,1,3,1 or more per member,"Matric+, internet",3,1,0,0.5,1,No
163100220000014601,1784.94926376,Employed,3,9,0,Black African,Western Cape,Non-metro urban,Some secondary,0,1,1,0,1,3,1 or more per member,"Below matric, internet",4,0,0,0,0,Yes
163100220000014601,1784.94926376,Employed,-6,36,1,Black African,Western Cape,Non-metro urban,Some secondary,0,1,1,0,1,3,1 or more per member,"Below matric, internet",4,0,0,0,0,Yes
163100220000014601,1784.94926376,Employed,3,9,1,Black African,Western Cape,Non-metro urban,Degree,1,1,1,0,1,3,1 or more per member,"Matric+, internet",4,0,0,0,0,No
163100220000014601,1784.94926376,Employed,-12,144,1,Black African,Western Cape,Non-metro urban,Some secondary,0,1,1,0,1,3,1 or more per member,"Below matric, internet",4,0,0,0,0,Yes
163100220000017301,1345.04380056,Employed,1,1,0,Coloured,Western Cape,Non-metro urban,Some secondary,0,0,1,0,1,2,Fewer than 1 per member,"Below matric, internet",7,2,0,0.4,0,Yes
