household_id,person_number,psu,province_code,sex_code,age,population_group_code,geo_type_code,metro_indicator,person_weight,household_id_flag,age_flag,province,sex,population_group,geo_type,metro
163102850000000401,04,16310285000,1,1,18,2,1,2,686.689212065,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163102850000001101,01,16310285000,1,1,53,4,1,2,1269.15557248,NA,NA,Western Cape,Male,White,Urban,Non-metro
163102850000001101,02,16310285000,1,2,51,4,1,2,1269.15557248,NA,NA,Western Cape,Female,White,Urban,Non-metro
163102850000001101,03,16310285000,1,2,24,4,1,2,1269.15557248,NA,NA,Western Cape,Female,White,Urban,Non-metro
163102850000001801,02,16310285000,1,1,34,2,1,2,786.92226984,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
163102850000001801,03,16310285000,1,1,22,2,1,2,786.92226984,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
164100490000002001,01,16410049000,1,1,38,2,1,2,811.891754673,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
164100490000002001,02,16410049000,1,2,37,2,1,2,811.891754673,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
164100490000002001,03,16410049000,1,2,16,2,1,2,811.891754673,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
164100490000004401,02,16410049000,1,2,15,2,1,2,646.853086171,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
164100490000004401,03,16410049000,1,1,34,2,1,2,646.853086171,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
164100490000004401,04,16410049000,1,2,54,2,1,2,646.853086171,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
164100490000004401,05,16410049000,1,2,23,2,1,2,646.853086171,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
164100490000006801,01,16410049000,1,1,64,2,1,2,684.598529849,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
164100490000006801,02,16410049000,1,2,54,2,1,2,684.598529849,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
164100490000006801,03,16410049000,1,2,24,2,1,2,684.598529849,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
164100490000009201,01,16410049000,1,2,51,2,1,2,887.2818836,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
164100490000009201,02,16410049000,1,2,46,2,1,2,887.2818836,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
164100490000011601,01,16410049000,1,2,24,2,1,2,850.351590882,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
164100490000014001,01,16410049000,1,2,58,2,1,2,545.144132462,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
164100570000000101,01,16410057000,1,1,37,2,1,2,1045.66249009,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
164100570000000101,02,16410057000,1,2,34,2,1,2,1045.66249009,NA,NA,Western Cape,Female,Coloured,Urban,Non-metro
164100570000001901,01,16410057000,1,1,53,2,1,2,815.339942991,NA,NA,Western Cape,Male,Coloured,Urban,Non-metro
